Year,Publications,Pubs with descriptions ,CCZ new species,All CCZ Descriptions,cumul_pubs,cumul_desc,cumul_spp
1980,4,,1,1,4,1,1
1981,,,,,4,1,1
1982,,,,,4,1,1
1983,1,1,1,2,5,3,2
1985,1,,,,6,3,2
1986,2,1,1,1,8,4,3
1987,1,,,,9,4,3
1988,1,,,,10,4,3
1989,1,,,,11,4,3
1990,1,,,,12,4,3
1992,1,,,,13,4,3
1993,1,,,,14,4,3
1994,1,,,,15,4,3
1997,4,1,,,19,4,3
1999,2,2,3,3,21,7,6
2000,3,,,,24,7,6
2001,1,,,,25,7,6
2002,2,,,,27,7,6
2004,2,,,,29,7,6
2005,1,1,1,1,30,8,7
2007,1,,,,31,8,7
2008,2,1,1,2,33,10,8
2009,3,2,8,9,36,19,16
2010,1,,,,37,19,16
2011,5,3,8,8,42,27,24
2012,2,1,7,7,44,34,31
2013,2,1,2,4,46,38,33
2014,5,5,7,9,51,47,40
2015,5,4,9,10,57,57,49
2016,11,3,4,4,67,61,53
2017,14,5,5,7,81,68,58
2018,12,5,23,35,93,103,81
2019,18,9,66,72,111,175,147
2020,23,9,14,17,134,192,161
2021,23,6,14,17,157,208,174
2022,8,4,8,8,165,216,182
